id,nombre,dpto
1,nombre1,12
2,nombre2,13
3,nombre3,66
4,nombre4,75
5,nombre5,35
6,nombre6,60
7,nombre7,60
8,nombre8,91
9,nombre9,56
10,nombre10,85
11,nombre11,92
12,nombre12,35
13,nombre13,3
14,nombre14,60
15,nombre15,88
16,nombre16,86
17,nombre17,90
18,nombre18,25
19,nombre19,86
20,nombre20,13
21,nombre21,46
22,nombre22,53
23,nombre23,68
24,nombre24,13
25,nombre25,12
26,nombre26,67
27,nombre27,30
28,nombre28,28
29,nombre29,10
30,nombre30,12
31,nombre31,29
32,nombre32,2
33,nombre33,86
34,nombre34,45
35,nombre35,41
36,nombre36,39
37,nombre37,84
38,nombre38,68
39,nombre39,97
40,nombre40,75
41,nombre41,64
42,nombre42,40
43,nombre43,59
44,nombre44,97
45,nombre45,56
46,nombre46,70
47,nombre47,44
48,nombre48,78
49,nombre49,27
50,nombre50,97
51,nombre51,12
52,nombre52,18
53,nombre53,75
54,nombre54,69
55,nombre55,41
56,nombre56,26
57,nombre57,83
58,nombre58,98
59,nombre59,17
60,nombre60,36
61,nombre61,92
62,nombre62,69
63,nombre63,35
64,nombre64,84
65,nombre65,13
66,nombre66,95
67,nombre67,91
68,nombre68,57
69,nombre69,36
70,nombre70,60
71,nombre71,10
72,nombre72,49
73,nombre73,74
74,nombre74,86
75,nombre75,4
76,nombre76,28
77,nombre77,90
78,nombre78,9
79,nombre79,57
80,nombre80,72
81,nombre81,15
82,nombre82,22
83,nombre83,40
84,nombre84,57
85,nombre85,35
86,nombre86,37
87,nombre87,39
88,nombre88,32
89,nombre89,72
90,nombre90,100
91,nombre91,12
92,nombre92,83
93,nombre93,91
94,nombre94,44
95,nombre95,27
96,nombre96,87
97,nombre97,17
98,nombre98,31
99,nombre99,73
100,nombre100,10
101,nombre101,39
102,nombre102,23
103,nombre103,17
104,nombre104,100
105,nombre105,3
106,nombre106,19
107,nombre107,4
108,nombre108,21
109,nombre109,57
110,nombre110,15
111,nombre111,14
112,nombre112,75
113,nombre113,26
114,nombre114,18
116,nombre116,79
117,nombre117,85
118,nombre118,92
119,nombre119,94
120,nombre120,50
121,nombre121,73
122,nombre122,99
123,nombre123,89
124,nombre124,55
125,nombre125,42
126,nombre126,85
127,nombre127,28
128,nombre128,55
129,nombre129,86
130,nombre130,3
131,nombre131,60
132,nombre132,44
133,nombre133,68
134,nombre134,96
135,nombre135,43
136,nombre136,6
137,nombre137,87
138,nombre138,80
139,nombre139,64
140,nombre140,58
141,nombre141,84
142,nombre142,90
143,nombre143,67
144,nombre144,5
145,nombre145,18
146,nombre146,25
147,nombre147,65
148,nombre148,74
149,nombre149,79
150,nombre150,89
151,nombre151,92
152,nombre152,4
153,nombre153,78
154,nombre154,38
155,nombre155,99
156,nombre156,14
157,nombre157,82
158,nombre158,36
159,nombre159,88
160,nombre160,83
161,nombre161,23
162,nombre162,36
163,nombre163,17
164,nombre164,27
165,nombre165,16
167,nombre167,9
168,nombre168,23
169,nombre169,12
170,nombre170,72
171,nombre171,78
172,nombre172,23
173,nombre173,14
174,nombre174,65
175,nombre175,31
176,nombre176,57
177,nombre177,100
178,nombre178,86
179,nombre179,77
180,nombre180,97
181,nombre181,73
182,nombre182,99
183,nombre183,8
184,nombre184,27
185,nombre185,21
186,nombre186,28
187,nombre187,89
188,nombre188,89
189,nombre189,79
190,nombre190,37
191,nombre191,87
192,nombre192,98
193,nombre193,80
194,nombre194,39
195,nombre195,51
196,nombre196,96
197,nombre197,38
198,nombre198,5
199,nombre199,22
200,nombre200,95
201,nombre201,34
202,nombre202,13
203,nombre203,54
