id,num_ejemplo,texto
1,89,texto1|                        
2,91,texto2|                        
3,52,texto3|                        
4,42,texto4|                        
5,34,texto5|                        
6,27,texto6|                        
7,33,texto7|                        
8,61,texto8|                        
9,69,texto9|                        
10,70,texto10|                      
11,89,texto11|                      
12,43,texto12|                      
13,77,texto13|                      
14,95,texto14|                      
15,52,texto15|                      
16,84,texto16|                      
17,30,texto17|                      
18,62,texto18|                      
19,70,texto19|                      
20,85,texto20|                      
21,71,texto21|                      
22,78,texto22|                      
23,54,texto23|                      
24,57,texto24|                      
25,36,texto25|                      
26,96,texto26|                      
27,49,texto27|                      
28,33,texto28|                      
29,25,texto29|                      
30,29,texto30|                      
31,10,texto31|                      
32,88,texto32|                      
33,8,texto33|                       
34,52,texto34|                      
35,48,texto35|                      
36,10,texto36|                      
37,12,texto37|                      
38,29,texto38|                      
39,91,texto39|                      
40,16,texto40|                      
41,89,texto41|                      
42,73,texto42|                      
43,98,texto43|                      
44,90,texto44|                      
45,83,texto45|                      
46,41,texto46|                      
47,10,texto47|                      
48,97,texto48|                      
49,78,texto49|                      
50,20,texto50|                      
51,89,texto51|                      
52,8,texto52|                       
53,57,texto53|                      
54,85,texto54|                      
55,31,texto55|                      
56,47,texto56|                      
57,6,texto57|                       
58,26,texto58|                      
59,8,texto59|                       
60,58,texto60|                      
61,12,texto61|                      
62,13,texto62|                      
63,34,texto63|                      
64,72,texto64|                      
65,1,texto65|                       
66,94,texto66|                      
67,28,texto67|                      
68,9,texto68|                       
69,22,texto69|                      
70,67,texto70|                      
71,69,texto71|                      
72,47,texto72|                      
73,23,texto73|                      
74,31,texto74|                      
75,85,texto75|                      
76,31,texto76|                      
77,22,texto77|                      
78,84,texto78|                      
79,13,texto79|                      
80,86,texto80|                      
81,64,texto81|                      
82,16,texto82|                      
83,60,texto83|                      
84,61,texto84|                      
85,67,texto85|                      
86,96,texto86|                      
87,71,texto87|                      
88,99,texto88|                      
89,39,texto89|                      
90,15,texto90|                      
91,69,texto91|                      
92,77,texto92|                      
93,85,texto93|                      
94,99,texto94|                      
95,68,texto95|                      
96,98,texto96|                      
97,48,texto97|                      
98,71,texto98|                      
99,84,texto99|                      
100,95,texto100|                    
101,20,texto101|                    
102,75,texto102|                    
103,56,texto103|                    
104,89,texto104|                    
105,72,texto105|                    
106,55,texto106|                    
107,57,texto107|                    
108,25,texto108|                    
109,73,texto109|                    
110,97,texto110|                    
111,39,texto111|                    
112,45,texto112|                    
113,29,texto113|                    
114,58,texto114|                    
115,41,texto115|                    
116,52,texto116|                    
117,9,texto117|                     
118,58,texto118|                    
119,9,texto119|                     
120,76,texto120|                    
121,69,texto121|                    
122,82,texto122|                    
123,35,texto123|                    
124,16,texto124|                    
125,95,texto125|                    
126,17,texto126|                    
127,41,texto127|                    
128,38,texto128|                    
129,59,texto129|                    
130,90,texto130|                    
131,39,texto131|                    
132,82,texto132|                    
133,54,texto133|                    
134,6,texto134|                     
135,85,texto135|                    
136,29,texto136|                    
137,11,texto137|                    
138,25,texto138|                    
139,17,texto139|                    
140,6,texto140|                     
141,47,texto141|                    
142,3,texto142|                     
143,18,texto143|                    
144,84,texto144|                    
145,66,texto145|                    
146,86,texto146|                    
147,56,texto147|                    
148,56,texto148|                    
149,45,texto149|                    
150,38,texto150|                    
151,44,texto151|                    
152,10,texto152|                    
153,84,texto153|                    
154,43,texto154|                    
155,96,texto155|                    
156,86,texto156|                    
157,73,texto157|                    
158,99,texto158|                    
159,51,texto159|                    
160,7,texto160|                     
161,62,texto161|                    
162,90,texto162|                    
163,32,texto163|                    
164,51,texto164|                    
165,23,texto165|                    
166,70,texto166|                    
167,58,texto167|                    
168,50,texto168|                    
169,70,texto169|                    
170,54,texto170|                    
171,61,texto171|                    
172,67,texto172|                    
173,8,texto173|                     
174,20,texto174|                    
175,12,texto175|                    
176,96,texto176|                    
177,83,texto177|                    
178,74,texto178|                    
179,28,texto179|                    
180,24,texto180|                    
181,18,texto181|                    
182,33,texto182|                    
183,46,texto183|                    
184,36,texto184|                    
185,30,texto185|                    
186,46,texto186|                    
187,57,texto187|                    
188,19,texto188|                    
189,21,texto189|                    
190,15,texto190|                    
191,36,texto191|                    
192,28,texto192|                    
193,10,texto193|                    
194,35,texto194|                    
195,28,texto195|                    
196,64,texto196|                    
197,74,texto197|                    
198,41,texto198|                    
199,53,texto199|                    
200,80,texto200|                    
201,10,texto201|                    
202,4,texto202|                     
203,24,texto203|                    
204,5,texto204|                     
205,37,texto205|                    
206,37,texto206|                    
207,75,texto207|                    
208,27,texto208|                    
209,23,texto209|                    
210,51,texto210|                    
211,24,texto211|                    
212,9,texto212|                     
213,66,texto213|                    
214,30,texto214|                    
215,20,texto215|                    
216,9,texto216|                     
217,84,texto217|                    
218,15,texto218|                    
219,48,texto219|                    
220,21,texto220|                    
221,49,texto221|                    
222,93,texto222|                    
223,98,texto223|                    
224,67,texto224|                    
225,86,texto225|                    
226,5,texto226|                     
227,27,texto227|                    
228,72,texto228|                    
229,22,texto229|                    
230,85,texto230|                    
231,48,texto231|                    
232,72,texto232|                    
233,85,texto233|                    
234,54,texto234|                    
235,61,texto235|                    
236,42,texto236|                    
237,83,texto237|                    
238,17,texto238|                    
239,41,texto239|                    
240,70,texto240|                    
241,55,texto241|                    
242,37,texto242|                    
243,83,texto243|                    
244,7,texto244|                     
245,39,texto245|                    
246,79,texto246|                    
247,45,texto247|                    
248,12,texto248|                    
249,30,texto249|                    
250,39,texto250|                    
251,52,texto251|                    
252,47,texto252|                    
253,95,texto253|                    
254,58,texto254|                    
255,74,texto255|                    
256,99,texto256|                    
257,96,texto257|                    
258,77,texto258|                    
259,34,texto259|                    
260,20,texto260|                    
261,39,texto261|                    
262,17,texto262|                    
263,48,texto263|                    
264,5,texto264|                     
265,69,texto265|                    
266,6,texto266|                     
267,69,texto267|                    
268,6,texto268|                     
269,7,texto269|                     
270,93,texto270|                    
271,62,texto271|                    
272,61,texto272|                    
273,5,texto273|                     
274,37,texto274|                    
275,16,texto275|                    
276,22,texto276|                    
277,74,texto277|                    
278,56,texto278|                    
279,1,texto279|                     
280,77,texto280|                    
281,15,texto281|                    
282,99,texto282|                    
283,3,texto283|                     
284,5,texto284|                     
285,16,texto285|                    
286,51,texto286|                    
287,59,texto287|                    
288,30,texto288|                    
289,67,texto289|                    
290,22,texto290|                    
291,87,texto291|                    
292,55,texto292|                    
293,32,texto293|                    
294,79,texto294|                    
295,58,texto295|                    
296,33,texto296|                    
297,2,texto297|                     
298,56,texto298|                    
299,1,texto299|                     
300,98,texto300|                    
301,9,texto301|                     
302,94,texto302|                    
303,80,texto303|                    
304,60,texto304|                    
305,38,texto305|                    
306,33,texto306|                    
307,56,texto307|                    
308,69,texto308|                    
309,56,texto309|                    
310,99,texto310|                    
311,14,texto311|                    
312,27,texto312|                    
313,4,texto313|                     
314,46,texto314|                    
315,19,texto315|                    
316,33,texto316|                    
317,34,texto317|                    
318,42,texto318|                    
319,66,texto319|                    
320,96,texto320|                    
321,27,texto321|                    
322,2,texto322|                     
323,88,texto323|                    
324,80,texto324|                    
325,7,texto325|                     
326,7,texto326|                     
327,75,texto327|                    
328,69,texto328|                    
329,62,texto329|                    
330,4,texto330|                     
331,61,texto331|                    
332,1,texto332|                     
333,62,texto333|                    
334,78,texto334|                    
335,26,texto335|                    
336,95,texto336|                    
337,38,texto337|                    
338,38,texto338|                    
339,55,texto339|                    
340,91,texto340|                    
341,22,texto341|                    
342,18,texto342|                    
343,91,texto343|                    
344,28,texto344|                    
345,61,texto345|                    
346,76,texto346|                    
347,99,texto347|                    
348,45,texto348|                    
349,65,texto349|                    
350,55,texto350|                    
351,14,texto351|                    
352,29,texto352|                    
353,59,texto353|                    
354,67,texto354|                    
355,89,texto355|                    
356,3,texto356|                     
357,65,texto357|                    
358,86,texto358|                    
359,32,texto359|                    
360,47,texto360|                    
361,80,texto361|                    
362,52,texto362|                    
363,31,texto363|                    
364,47,texto364|                    
365,65,texto365|                    
366,38,texto366|                    
367,73,texto367|                    
368,80,texto368|                    
369,67,texto369|                    
370,32,texto370|                    
371,59,texto371|                    
372,23,texto372|                    
373,97,texto373|                    
374,84,texto374|                    
375,11,texto375|                    
376,1,texto376|                     
377,91,texto377|                    
378,11,texto378|                    
379,50,texto379|                    
380,38,texto380|                    
381,33,texto381|                    
382,95,texto382|                    
383,78,texto383|                    
384,8,texto384|                     
385,63,texto385|                    
386,33,texto386|                    
387,21,texto387|                    
388,73,texto388|                    
389,56,texto389|                    
390,71,texto390|                    
391,20,texto391|                    
392,85,texto392|                    
393,35,texto393|                    
394,93,texto394|                    
395,70,texto395|                    
396,79,texto396|                    
397,21,texto397|                    
398,54,texto398|                    
399,4,texto399|                     
400,36,texto400|                    
401,31,texto401|                    
402,51,texto402|                    
403,73,texto403|                    
404,51,texto404|                    
405,27,texto405|                    
406,32,texto406|                    
407,1,texto407|                     
408,39,texto408|                    
409,95,texto409|                    
410,76,texto410|                    
411,5,texto411|                     
412,99,texto412|                    
413,29,texto413|                    
414,68,texto414|                    
415,9,texto415|                     
416,83,texto416|                    
417,45,texto417|                    
418,97,texto418|                    
419,76,texto419|                    
420,6,texto420|                     
421,84,texto421|                    
422,27,texto422|                    
423,76,texto423|                    
424,37,texto424|                    
425,30,texto425|                    
426,63,texto426|                    
427,11,texto427|                    
428,95,texto428|                    
429,81,texto429|                    
430,18,texto430|                    
431,86,texto431|                    
432,6,texto432|                     
433,58,texto433|                    
434,41,texto434|                    
435,10,texto435|                    
436,32,texto436|                    
437,58,texto437|                    
438,9,texto438|                     
439,44,texto439|                    
440,27,texto440|                    
441,69,texto441|                    
442,96,texto442|                    
443,6,texto443|                     
444,58,texto444|                    
445,56,texto445|                    
446,51,texto446|                    
447,15,texto447|                    
448,57,texto448|                    
449,45,texto449|                    
450,21,texto450|                    
451,86,texto451|                    
452,50,texto452|                    
453,26,texto453|                    
454,54,texto454|                    
455,14,texto455|                    
456,49,texto456|                    
457,74,texto457|                    
458,51,texto458|                    
459,6,texto459|                     
460,83,texto460|                    
461,43,texto461|                    
462,51,texto462|                    
463,64,texto463|                    
464,80,texto464|                    
465,53,texto465|                    
466,82,texto466|                    
467,10,texto467|                    
468,6,texto468|                     
469,53,texto469|                    
470,43,texto470|                    
471,50,texto471|                    
472,73,texto472|                    
473,21,texto473|                    
474,59,texto474|                    
475,99,texto475|                    
476,25,texto476|                    
477,80,texto477|                    
478,72,texto478|                    
479,12,texto479|                    
480,10,texto480|                    
481,53,texto481|                    
482,28,texto482|                    
